time_min,distance,name,sex,flag_finished,last_distance,last_time,distance_diff_m,rank
0.0,0.0,Wesley Robinson,M,1,26.2,138.821,0.0,1.0
0.0,0.0,Weston Strum,M,0,19.0,100.61366666666666,0.0,1.0
0.0,0.0,Wilkerson Given,M,1,26.2,136.83966666666666,0.0,1.0
0.0,0.0,Will Cross,M,0,15.0,79.34683333333334,0.0,1.0
0.0,0.0,William Loevner,M,1,26.2,142.165,0.0,1.0
0.0,0.0,William Norris,M,1,26.2,140.6465,0.0,1.0
0.0,0.0,Zach Herriott,M,0,20.0,104.53133333333334,0.0,1.0
0.0,0.0,Zachary Hine,M,1,26.2,148.11666666666667,0.0,1.0
0.0,0.0,Zachary Ornelas,M,1,26.2,144.12983333333335,0.0,1.0
0.0,0.0,Zachary Ripley,M,1,26.2,157.79833333333332,0.0,1.0
0.0,0.0,Zachery Panning,M,1,26.2,130.82533333333333,0.0,1.0
0.0,0.0,Zack Holden,M,1,26.2,137.832,0.0,1.0
2.0,0.3980627612286871,Aaron Davidson,M,0,13.0,69.29683333333334,-3.5893368841566025,38.0
2.0,0.398591642861888,Aaron Gruen,M,0,18.0,92.631,-2.7383663363364157,28.0
2.0,0.39990668843936417,Abdi Abdirahman,M,0,8.0,40.0955,-0.6224580021772219,8.0
2.0,0.396235760277365,Abinet Adraro,M,0,15.0,77.48683333333334,-6.5289814148338605,57.0
2.0,0.376376125207791,Adam Sjolund,M,1,26.2,153.9495,-38.48313424177843,139.0
2.0,0.36485253876558227,Adam Wollant,M,1,26.2,145.4215,-57.024584827292294,177.0
2.0,0.3924646781789639,Afewerki Zeru,M,1,26.2,140.594,-12.596652511161233,68.0
2.0,0.39495770661225027,Aidan Reed,M,1,26.2,140.47183333333334,-8.58536976200348,62.0
2.0,0.38031249009602897,Alan Peterson,M,1,26.2,136.91199999999998,-32.14952313660356,125.0
2.0,0.3697085464292316,Alberto Mena,M,1,26.2,141.82833333333335,-49.211268496480486,156.0
2.0,0.39789117676315533,Alex Norstrom,M,1,26.2,141.9785,-3.86541628919724,42.0
2.0,0.366021046210157,Alexander Burks,M,1,26.2,138.45333333333335,-55.144456348971524,169.0
2.0,0.3643761576534176,Alexander Taylor,M,0,18.0,99.643,-57.79108203676529,181.0
2.0,0.3792667509481669,Andrew Bowman,M,0,17.0,90.10166666666667,-33.832117425513594,128.0
2.0,0.3973641511308321,Andrew Colley,M,0,19.0,92.61833333333334,-4.713400531605282,52.0
2.0,0.3650523241664638,Andrew McCann,M,1,26.2,143.74016666666665,-56.70313011727387,174.0
2.0,0.3871342387973029,Austin Bogina,M,1,26.2,144.27349999999998,-21.173329476253784,88.0
2.0,0.39894943315934706,Awet Beraki,M,1,26.2,139.5186666666667,-2.1626817477247533,23.0
2.0,0.39840637450199207,Ben Olson,M,0,18.0,94.911,-3.0364631274089304,32.0
2.0,0.37348272642390284,Benjamin Decker,M,1,26.2,139.57416666666668,-43.13861288505449,151.0
2.0,0.39652380795030234,Benjamin Kendell,M,1,26.2,137.3685,-6.065512709077696,55.0
2.0,0.3782267469347874,Benjamin Payne,M,1,26.2,137.07333333333332,-35.505483883041215,132.0
2.0,0.3687315634218289,Benjamin Schneiderman,M,1,26.2,138.70116666666667,-50.78323415539148,159.0
2.0,0.39807596616354285,Biya Simbassa,M,1,26.2,132.34833333333333,-3.568090143973721,36.0
2.0,0.37489456090474554,Bradley Taylor,M,0,12.0,66.49216666666668,-40.86697120537858,146.0
2.0,0.3625706257364716,Brendan Martin,M,1,26.2,147.43800000000002,-60.696182891131386,194.0
2.0,0.36498570472656494,Brian Harvey,M,1,26.2,143.779,-56.810320796071174,176.0
2.0,0.3849361647526785,Brian Masterson,M,0,19.0,99.58133333333333,-24.71003061405446,105.0
2.0,0.39961370675014146,Brian Shrader,M,0,17.0,86.18483333333333,-1.0938655401365533,13.0
2.0,0.3976801988400994,CJ Albertson,M,1,26.2,130.11466666666666,-4.2048797673942,48.0
2.0,0.38366851040700833,Caleb Kerr,M,1,26.2,138.82533333333333,-26.749686456237757,115.0
2.0,0.38483740619588225,Cameron Dickson,M,1,26.2,149.49883333333335,-24.868933131939627,106.0
2.0,0.40029354860230837,Chad Beyer,M,1,26.2,148.96966666666668,0.0,3.0
2.0,0.3874592360595396,Charles Lawrence,M,0,14.0,73.96033333333334,-20.65040888131498,83.0
2.0,0.3863987635239567,Charlie Sweeney,M,1,26.2,143.24033333333333,-22.35670919106785,93.0
2.0,0.39172161650453746,Chase Weaverling,M,1,26.2,137.88533333333334,-13.792238745313389,73.0
2.0,0.3997867803837953,Clayton Young,M,1,26.2,129.0885,-0.8153900635875575,9.0
2.0,0.384948513136368,Clint McKelvey,M,1,26.2,137.8845,-24.690162064698022,104.0
2.0,0.39807596616354285,Colin Bennie,M,1,26.2,132.27,-3.568090143973721,36.0
2.0,0.369321679182568,Colin Martin,M,1,26.2,140.91400000000002,-49.833737896362294,157.0
2.0,0.39818163719016486,Colin Mickow,M,1,26.2,134.97316666666669,-3.398065462138904,34.0
2.0,0.4004939425291193,Collin Buck,M,0,13.0,67.34016666666666,0.3224338282387811,1.0
2.0,0.3989229081480004,Conner Mantz,M,1,26.2,129.06866666666667,-2.2053604909815054,24.0
2.0,0.3753988612901207,Connor Rockett,M,1,26.2,147.38566666666665,-40.055551885309995,143.0
2.0,0.3874592360595396,Connor Weaver,M,1,26.2,133.91866666666667,-20.65040888131498,83.0
2.0,0.3984328308652633,Connor Winter,M,1,26.2,133.0445,-2.993894838905482,31.0
2.0,0.36191452785233885,Daniel Docherty,M,1,26.2,140.66966666666667,-61.75184438670095,196.0
2.0,0.3985651654045437,Daniel Mesfun,M,1,26.2,134.05433333333335,-2.7809685652033918,29.0
2.0,0.3620346346467146,Daniel Schubert,M,1,26.2,148.15883333333335,-61.55859255455039,195.0
2.0,0.36009002250562644,Daniel Vassallo,M,1,26.2,147.50533333333334,-64.68747348956123,200.0
2.0,0.3822021212217728,David Fuentes,M,1,26.2,141.61416666666668,-29.109106655281774,119.0
2.0,0.38384032242587085,Dominic Hockenbury,M,1,26.2,141.2485,-26.473240917887967,114.0
2.0,0.3978516013526954,Donald Cowart,M,1,26.2,145.54366666666667,-3.9290931246272227,45.0
2.0,0.36184904863854295,Duriel Hardy,M,1,26.2,143.708,-61.857200441698566,197.0
2.0,0.37511722413254145,Dylan Belles,M,1,26.2,145.97400000000002,-40.508706071854974,144.0
2.0,0.3907521979811136,Dylan Marx,M,1,26.2,141.56016666666667,-15.352033149502379,75.0
2.0,0.3763879304936955,Edward Mulder,M,1,26.2,144.71616666666665,-38.46413953675809,138.0
2.0,0.40009335511619376,Elkanah Kibet,M,1,26.2,130.02583333333334,-0.3221113191584046,4.0
2.0,0.39757479375807575,Emilio de la Torre,M,0,14.0,73.34750000000001,-4.374476544370283,49.0
2.0,0.38689708537529016,Eric Vazquez-Olivas,M,0,11.0,69.95616666666666,-21.554909332272295,89.0
2.0,0.37475406764310926,Erik Linden,M,1,26.2,144.96916666666667,-41.093024863351374,147.0
2.0,0.38567847271324807,Evan Landes,M,1,26.2,145.45499999999998,-23.515657105498025,99.0
2.0,0.3991086573319586,Frank Lara,M,1,26.2,134.91366666666667,-1.90649005399277,19.0
2.0,0.3978516013526954,Futsum Zienasellassie,M,1,26.2,133.95516666666668,-3.9290931246272227,45.0
2.0,0.3994407829039344,Galen Rupp,M,1,26.2,134.11350000000002,-1.3721000086836812,16.0
2.0,0.3857280617164898,Garret Lee,M,1,26.2,136.57250000000002,-23.43586839928204,98.0
2.0,0.3738434219134552,Grayson Hough,M,1,26.2,142.38216666666668,-42.558253842364735,150.0
2.0,0.39795715327983017,Habtamu Cheney,M,1,26.2,135.71416666666667,-3.759260073867427,41.0
2.0,0.37683708076874767,Henry Sterling,M,1,26.2,147.2275,-37.74145674419917,137.0
2.0,0.3627459871225175,Henry Williams,M,1,26.2,151.60983333333334,-60.414026420983525,193.0
2.0,0.3996270147861996,Ian Butler,M,0,13.0,66.06516666666667,-1.0724529101189961,12.0
2.0,0.38195881210809435,Isaac Benz,M,0,17.0,93.0705,-29.50059101919036,120.0
2.0,0.3851091142490372,Jack Mastandrea,M,1,26.2,138.76066666666665,-24.431754874413294,101.0
2.0,0.38611280929244823,Jackson Neff,M,1,26.2,141.76833333333335,-22.816809549564958,95.0
2.0,0.3871592192289079,Jacob Heslington,M,1,26.2,135.19266666666667,-21.13313596180137,87.0
