,time,point,label,pid,bib,bib_display,tag,name,timeOfDay,epochTime,milePace,milePaceAvg,mph,kmPace,kmPaceAvg,kmh,etnp,etfp,startTime,sex,profile_color,_ver,alias,pace,paceAvg,splitTime,netTime,waveTime,course,country,country_iso,city,timestamp,i,u,place,leaderDiff,profile_pic,team,placeChange,isFinish,distance
22,00:05:00.79,1M,1M,RTJSPGBM,606,606,00606,Awet Beraki,10:15:00 am,1706973299.48,05:01,05:01,11.97,03:07,03:07,19.26,2M~00:10:01~10:19 am,FINISH~02:19:32~12:29 pm,10:09:59 am,M,6,4,1M,05:01 min/mile,05:01 min/mile,00:05:00.79,00:05:00.79,00:05:00.79,marathon,USA,us,Alamosa,1706955299.48,1706973309_000333,1706984413_000074,16,+00:01.16,,,,,1.0
23,00:05:00.81,1M,1M,RP9SBG5V,404,404,00404,Conner Mantz,10:15:00 am,1706973299.50,05:01,05:01,11.97,03:07,03:07,19.26,2M~00:10:00~10:19 am,FINISH~02:09:05~12:19 pm,10:09:59 am,M,2,23,1M,05:01 min/mile,05:01 min/mile,00:05:00.81,00:05:00.81,00:05:00.81,marathon,USA,us,Provo,1706955299.50,1706973310_000077,1706984413_000072,17,+00:01.18,/_imgss/events/ORLANDO-TRIALS-2024/roster/1706759805_conner-mantz-8140.jpeg?v=23,NIKE,,,1.0
24,00:05:00.83,1M,1M,RN5JTCEW,406,406,00406,Sam Chelanga,10:15:00 am,1706973299.52,05:01,05:01,11.97,03:07,03:07,19.26,2M~00:10:01~10:19 am,FINISH~02:21:11~12:31 pm,10:09:59 am,M,10,15,1M,05:01 min/mile,05:01 min/mile,00:05:00.83,00:05:00.83,00:05:00.83,marathon,USA,us,Colorado Springs,1706955299.52,1706973310_000095,1706978966_000304,,,/_imgss/events/ORLANDO-TRIALS-2024/roster/1706759877_sam-chelanga-4831.jpg?v=15,NIKE / U.S. Army WCAP,,,1.0
25,00:05:00.87,1M,1M,RVSU8XZM,409,409,00409,Leonard Korir,10:15:00 am,1706973299.56,05:01,05:01,11.97,03:07,03:07,19.26,2M~00:10:00~10:19 am,FINISH~02:09:57~12:19 pm,10:09:59 am,M,15,24,1M,05:01 min/mile,05:01 min/mile,00:05:00.87,00:05:00.87,00:05:00.87,marathon,USA,us,Colorado Springs,1706955299.56,1706973309_000358,1706983398_000146,18,+00:01.24,/_imgss/events/ORLANDO-TRIALS-2024/roster/1706760069_leonard-korir-1950.jpg?v=24,NIKE / U.S. Army WCAP,,,1.0
26,00:05:01.03,1M,1M,R9C5EN24,461,461,00461,Nadir Yusuf,10:15:00 am,1706973299.72,05:02,05:02,11.96,03:08,03:08,19.25,2M~00:10:02~10:19 am,FINISH~02:16:15~12:26 pm,10:09:59 am,M,10,4,1M,05:02 min/mile,05:02 min/mile,00:05:01.03,00:05:01.03,00:05:01.03,marathon,USA,us,Willmar,1706955299.72,1706973309_000361,1706973309_000362,19,+00:01.40,,,,,1.0
27,00:05:01.06,1M,1M,RS9X82NG,478,478,00478,Aaron Gruen,10:15:00 am,1706973299.75,05:02,05:02,11.96,03:08,03:08,19.24,2M~00:10:02~10:19 am,FINISH~02:14:58~12:24 pm,10:09:59 am,M,4,12,1M,05:02 min/mile,05:02 min/mile,00:05:01.06,00:05:01.06,00:05:01.06,marathon,USA,us,Providence,1706955299.75,1706973310_000104,1706980516_000108,,,,Rhode Island Track Club,,,1.0
28,00:05:01.08,1M,1M,RSDP29Y3,432,432,00432,Daniel Mesfun,10:15:00 am,1706973299.77,05:02,05:02,11.96,03:08,03:08,19.24,2M~00:10:03~10:20 am,FINISH~02:14:04~12:24 pm,10:09:59 am,M,4,13,1M,05:02 min/mile,05:02 min/mile,00:05:01.08,00:05:01.08,00:05:01.08,marathon,USA,us,Flagstaff,1706955299.77,1706973310_000107,1706981340_000277,20,+00:01.45,,,,,1.0
29,00:05:01.12,1M,1M,RCUMLP8T,412,412,00412,Matthew McDonald,10:15:00 am,1706973299.81,05:02,05:02,11.96,03:08,03:08,19.24,2M~00:10:01~10:19 am,FINISH~02:20:45~12:30 pm,10:09:59 am,M,11,8,1M,05:02 min/mile,05:02 min/mile,00:05:01.12,00:05:01.12,00:05:01.12,marathon,USA,us,Cambridge,1706955299.81,1706973310_000101,1706973310_000102,21,+00:01.49,/_imgss/events/ORLANDO-TRIALS-2024/roster/1706760339_matt-mcdonald-2016.jpg?v=8,Boston Athletic Association,,,1.0
30,00:05:01.18,1M,1M,R2VLPAFZ,471,471,00471,Connor Winter,10:15:00 am,1706973299.87,05:02,05:02,11.95,03:08,03:08,19.24,2M~00:10:02~10:20 am,FINISH~02:13:03~12:23 pm,10:09:59 am,M,9,12,1M,05:02 min/mile,05:02 min/mile,00:05:01.18,00:05:01.18,00:05:01.18,marathon,USA,us,Centennial,1706955299.87,1706973310_000086,1706981281_000215,22,+00:01.55,,Tinman Elite,,,1.0
31,00:05:01.20,1M,1M,R3T5ZNRU,482,482,00482,Wesley Robinson,10:15:00 am,1706973299.89,05:02,05:02,11.95,03:08,03:08,19.23,2M~00:10:03~10:20 am,FINISH~02:18:50~12:28 pm,10:09:59 am,M,4,17,1M,05:02 min/mile,05:02 min/mile,00:05:01.20,00:05:01.20,00:05:01.20,marathon,USA,us,Denver,1706955299.89,1706973310_000116,1706985955_000086,23,+00:01.57,,,,,1.0
